epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,32297.6,0.50378,0.29834,0.89321,0.92132,0.92323,0.95246,0.77422,0.73219,0.42354,0.9939,0.0002378,0.0002378,0.0002378
180,32467.9,0.4986,0.29426,0.88773,0.92013,0.92946,0.96024,0.7944,0.73622,0.41113,0.99754,0.0002279,0.0002279,0.0002279
181,32640.4,0.50614,0.29529,0.89402,0.91486,0.94191,0.96091,0.79608,0.70745,0.39438,0.98844,0.000218,0.000218,0.000218
182,32822.7,0.49914,0.29241,0.89559,0.92255,0.9391,0.961,0.78667,0.71189,0.39686,1.00312,0.0002081,0.0002081,0.0002081
183,32988.2,0.49868,0.2944,0.8906,0.9299,0.93575,0.96215,0.78817,0.70982,0.40042,0.99583,0.0001982,0.0001982,0.0001982
184,33157,0.49768,0.29884,0.89622,0.92953,0.93361,0.95754,0.77817,0.70885,0.43182,1.00052,0.0001883,0.0001883,0.0001883
185,33332.3,0.48952,0.29081,0.89235,0.91365,0.92194,0.96001,0.78594,0.72769,0.43525,1.00283,0.0001784,0.0001784,0.0001784
186,33489.5,0.48998,0.29529,0.88937,0.90754,0.93675,0.95667,0.78445,0.70806,0.42333,0.9967,0.0001685,0.0001685,0.0001685
187,33669.9,0.47878,0.2831,0.88112,0.91021,0.92543,0.9557,0.78283,0.69897,0.41795,0.99018,0.0001586,0.0001586,0.0001586
188,33836.2,0.47301,0.28341,0.8829,0.93269,0.91998,0.96008,0.78294,0.71825,0.42032,1.00475,0.0001487,0.0001487,0.0001487
189,33998.9,0.47126,0.28375,0.88076,0.93184,0.92531,0.96317,0.78748,0.72149,0.39576,1.01734,0.0001388,0.0001388,0.0001388
190,34190.6,0.47038,0.28171,0.87742,0.94855,0.90456,0.96154,0.78643,0.71357,0.4051,1.00754,0.0001289,0.0001289,0.0001289
191,34537.6,0.45684,0.25513,0.85554,0.92837,0.91424,0.95933,0.77859,0.7266,0.40697,1.0138,0.000119,0.000119,0.000119
192,34806,0.43121,0.23394,0.83873,0.91836,0.93352,0.95577,0.77194,0.7109,0.38866,1.00777,0.0001091,0.0001091,0.0001091
193,35086.8,0.42327,0.23077,0.83761,0.92425,0.91129,0.95068,0.76742,0.72509,0.40343,1.01966,9.92e-05,9.92e-05,9.92e-05
194,35357,0.40266,0.22135,0.83683,0.92841,0.91481,0.95323,0.77798,0.71748,0.39357,1.01373,8.93e-05,8.93e-05,8.93e-05
195,35604.6,0.40302,0.22021,0.83722,0.9338,0.92531,0.96162,0.78592,0.70482,0.38145,1.00274,7.94e-05,7.94e-05,7.94e-05
196,35855.7,0.40138,0.21863,0.83542,0.92453,0.93361,0.95926,0.78918,0.70375,0.3799,1.00386,6.95e-05,6.95e-05,6.95e-05
197,36069.2,0.3953,0.21957,0.83494,0.93322,0.92782,0.96328,0.79012,0.70227,0.38129,1.00147,5.96e-05,5.96e-05,5.96e-05
198,36315.9,0.39357,0.21554,0.8339,0.92929,0.92705,0.95934,0.78671,0.70302,0.3802,0.99914,4.97e-05,4.97e-05,4.97e-05
199,36538.9,0.38608,0.21654,0.83007,0.92571,0.93069,0.96288,0.78861,0.69651,0.37725,0.99737,3.98e-05,3.98e-05,3.98e-05
200,36745.9,0.39791,0.21831,0.83274,0.93196,0.92946,0.96367,0.79376,0.69595,0.37547,0.99948,2.99e-05,2.99e-05,2.99e-05
