epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7780.54,1.0365,0.62291,1.14369,0.85642,0.89101,0.91681,0.62914,1.14636,0.75942,1.1949,0.0015941,0.0015941,0.0015941
43,7975.39,1.01502,0.6241,1.1348,0.85631,0.84232,0.87824,0.59536,1.2,0.82206,1.23985,0.0015842,0.0015842,0.0015842
44,8180.33,1.00142,0.62324,1.13052,0.88016,0.76349,0.80961,0.54481,1.25877,0.79462,1.28012,0.0015743,0.0015743,0.0015743
45,8392.75,0.99403,0.61931,1.13714,0.84978,0.6971,0.71815,0.49323,1.09527,0.78632,1.18288,0.0015644,0.0015644,0.0015644
46,8574.85,1.00473,0.62425,1.13291,0.85758,0.82573,0.87372,0.58531,1.15875,0.77003,1.21039,0.0015545,0.0015545,0.0015545
47,8767.03,0.99856,0.60658,1.12473,0.8743,0.6722,0.72989,0.48217,1.24314,0.87477,1.2811,0.0015446,0.0015446,0.0015446
48,8952.49,0.97187,0.58802,1.12115,0.83336,0.87967,0.90014,0.60382,1.24532,0.75177,1.29725,0.0015347,0.0015347,0.0015347
49,9149.32,0.97555,0.58278,1.10808,0.76505,0.21992,0.22195,0.15502,1.21948,1.06838,1.27206,0.0015248,0.0015248,0.0015248
50,9345.42,0.96463,0.55996,1.10242,0.86273,0.86307,0.89981,0.61592,1.17701,0.70493,1.24116,0.0015149,0.0015149,0.0015149
51,9555.82,0.95067,0.57034,1.10983,0.81051,0.56793,0.60524,0.41802,1.12504,0.81016,1.21276,0.001505,0.001505,0.001505
52,9752.95,0.93233,0.56343,1.09111,0.8556,0.92116,0.9244,0.64921,1.12234,0.69441,1.20042,0.0014951,0.0014951,0.0014951
53,9943.23,0.96979,0.57541,1.11823,0.84306,0.82988,0.87802,0.58955,1.16579,0.8135,1.25142,0.0014852,0.0014852,0.0014852
54,10136.7,0.92396,0.54743,1.08639,0.86813,0.87413,0.91084,0.64471,1.03366,0.63064,1.18322,0.0014753,0.0014753,0.0014753
55,10328.9,0.92159,0.55935,1.09351,0.81519,0.87856,0.88221,0.5953,1.11372,0.77152,1.23122,0.0014654,0.0014654,0.0014654
56,10516.4,0.93875,0.55885,1.09994,0.88271,0.85477,0.90431,0.61975,1.10457,0.70683,1.2051,0.0014555,0.0014555,0.0014555
57,10704.5,0.93522,0.55886,1.09514,0.89623,0.86005,0.92005,0.64001,1.04567,0.64601,1.16425,0.0014456,0.0014456,0.0014456
58,10886.3,0.88524,0.51664,1.069,0.84348,0.86307,0.90501,0.62242,1.09862,0.70063,1.17455,0.0014357,0.0014357,0.0014357
59,11070.4,0.89427,0.5311,1.06796,0.89563,0.82988,0.90017,0.63702,0.99036,0.70136,1.15489,0.0014258,0.0014258,0.0014258
60,11253.8,0.91977,0.54703,1.07848,0.88343,0.86307,0.90448,0.62757,1.13465,0.65563,1.2095,0.0014159,0.0014159,0.0014159
61,11436,0.91433,0.53644,1.07789,0.90462,0.85062,0.90397,0.62931,1.12948,0.65171,1.20625,0.001406,0.001406,0.001406
62,11619.5,0.9226,0.53537,1.08097,0.85783,0.87137,0.91335,0.63837,1.1779,0.73356,1.24319,0.0013961,0.0013961,0.0013961
63,11821,0.86263,0.50997,1.04662,0.89903,0.84975,0.91942,0.64355,1.13724,0.74465,1.23447,0.0013862,0.0013862,0.0013862
64,12019.5,0.87917,0.51523,1.05714,0.8519,0.90871,0.92132,0.67463,1.0191,0.61981,1.1434,0.0013763,0.0013763,0.0013763
65,12214.8,0.88538,0.51344,1.06417,0.86001,0.87967,0.91599,0.65418,1.10066,0.6401,1.21933,0.0013664,0.0013664,0.0013664
66,12386.8,0.87319,0.51637,1.057,0.86894,0.85282,0.89533,0.62998,1.09248,0.72816,1.21835,0.0013565,0.0013565,0.0013565
67,12575.6,0.84917,0.50448,1.05515,0.91213,0.87137,0.91977,0.67585,0.9955,0.62715,1.14787,0.0013466,0.0013466,0.0013466
68,12759,0.84412,0.51147,1.03965,0.86834,0.84838,0.90004,0.64497,1.07081,0.73832,1.18626,0.0013367,0.0013367,0.0013367
69,12939.6,0.85979,0.50045,1.05182,0.8889,0.88382,0.91917,0.68051,0.95895,0.57804,1.10741,0.0013268,0.0013268,0.0013268
70,13111.2,0.83268,0.48582,1.03656,0.84248,0.84334,0.87228,0.62966,1.09518,0.68487,1.1923,0.0013169,0.0013169,0.0013169
71,13304.3,0.86856,0.51049,1.05581,0.85464,0.72199,0.75777,0.53242,1.10649,0.85234,1.24153,0.001307,0.001307,0.001307
72,13485,0.83564,0.49245,1.0421,0.90323,0.85477,0.90781,0.656,0.98653,0.58486,1.1269,0.0012971,0.0012971,0.0012971
73,13659.7,0.84556,0.49299,1.03655,0.88324,0.87552,0.90753,0.66149,1.05852,0.65903,1.17883,0.0012872,0.0012872,0.0012872
74,13829.2,0.83808,0.49792,1.04774,0.91135,0.89576,0.93632,0.69386,0.95231,0.57105,1.10257,0.0012773,0.0012773,0.0012773
75,14006.6,0.83302,0.48054,1.04605,0.89301,0.90871,0.92779,0.69553,0.92174,0.63848,1.09412,0.0012674,0.0012674,0.0012674
76,14181.6,0.83919,0.48132,1.03139,0.90604,0.89627,0.93041,0.6884,0.93287,0.59319,1.09668,0.0012575,0.0012575,0.0012575
77,14360.6,0.82718,0.47258,1.02503,0.84586,0.86525,0.91373,0.65105,1.03966,0.69668,1.14766,0.0012476,0.0012476,0.0012476
78,14525.3,0.80032,0.47061,1.03037,0.902,0.84024,0.89764,0.63463,1.06578,0.60506,1.20562,0.0012377,0.0012377,0.0012377
79,14718.3,0.81069,0.47974,1.02188,0.91419,0.87552,0.92908,0.69585,0.97908,0.55365,1.10204,0.0012278,0.0012278,0.0012278
80,14887.2,0.83224,0.48831,1.03598,0.88411,0.87552,0.92904,0.69495,0.89728,0.59883,1.08531,0.0012179,0.0012179,0.0012179
81,15072.5,0.7963,0.46309,1.01195,0.89896,0.88797,0.93423,0.67837,1.01275,0.61398,1.13823,0.001208,0.001208,0.001208
